Image,Title,Price,Ratings,Review,Monthly Sales
https://m.media-amazon.com/images/I/81ro+knV+HL._AC_UL320_.jpg,"Ambrane 10000mAh Slim & Compact Powerbank with in-Build Type C Cable, 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Tablets, Earbuds, (Stylo N10,Purple)",999,4.2 out of 5 stars,474,800+ bought in past month
https://m.media-amazon.com/images/I/71v4+LA3M6L._AC_UL320_.jpg,Redmi 15 5G Frosted White 6GB + 128GB | Segment's Largest 7000mAhA Battery | Segment's Largest Display 17.53cm(6.9) Up to 144Hz | Snapdragon 6s Gen 3 | 18W Reverse Charging | 50MP AI Dual Camera,"14,998",3.8 out of 5 stars,96,
https://m.media-amazon.com/images/I/514HAMtG7SL._AC_UL320_.jpg,"Leaf Buds X121 True Wireless Earbuds AI Sound App, 30H Playtime, Quad Mic with ENC, 50ms Low Latency, Fast Charging(10min=200min), 10mm Driver, IPX5, Bluetooth v5.4 TWS (Carbon Black)",599,4.2 out of 5 stars,799,500+ bought in past month
https://m.media-amazon.com/images/I/61pVMWhSvjL._AC_UL320_.jpg,"boAt Airdopes 91, 45HRS Battery, 50ms Low Latency, ENx Tech, Fast Charge, IPX4, IWP Tech, v5.3 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Mist Grey)",796,3.4 out of 5 stars,"9,148",300+ bought in past month
https://m.media-amazon.com/images/I/71+1C9GyQgL._AC_UL320_.jpg,"boAt New Launch PartyPal 600 Party Speaker, 220W Signature Sound, Dynamic Pixels, Animated Text Display, App Support, UHF Wireless Microphone, Colorful LEDs,7hrs Battery & Guitar Input(Premium Black)","16,999",4.0 out of 5 stars,246,300+ bought in past month
https://m.media-amazon.com/images/I/613Hi8-3VUL._AC_UL320_.jpg,"Basesailor 80W Original Fast USB C To Type C Supervooc/Dash Fast Charging Charger Cable Compatible For Oneplus 12/12R/11/11R/10R,10T,10,10 Pro,9 Pro,8,8T,7T,7T Pro,6,Nord,4,3,2,2T,Ce2 Lite,Ce3 Lite,1M",401,4.2 out of 5 stars,"5,809",900+ bought in past month
https://m.media-amazon.com/images/I/61lkStCO5VL._AC_UL320_.jpg,Amazon Brand - Solimo Screen Guard Tempered Full Screen Protector Edge Coverage Screen Protector for Samsung m05 Bubble Free Application | 9H Surface Hardness Tempered Glass (Pack of 1). Clear,119,4.1 out of 5 stars,304,900+ bought in past month
https://m.media-amazon.com/images/I/71xrfpzCMfL._AC_UL320_.jpg,"Brustro AquaStrokes Artist Brushes | Set of 6 | Ideal for Watercolour, Gouache, Acrylics, Oil Brush, Synthetic Bristles, Wooden Handle | Made for Students and Professionals Artists",297,4.4 out of 5 stars,416,700+ bought in past month
https://m.media-amazon.com/images/I/61F5SXdi9jL._AC_UL320_.jpg,"boAt Rockerz 550 Bluetooth Wireless Over Ear Headphones with Upto 20 Hours Playback, 50MM Drivers, Soft Padded Ear Cushions and Physical Noise Isolation with Mic (Black Symphony)","1,599",4.0 out of 5 stars,"64,951",500+ bought in past month
https://m.media-amazon.com/images/I/61sFO6gNpPL._AC_UL320_.jpg,"Teeran 2-in-1 Wireless CarPlay & Android Auto Adapter,Convert Wired to Wireless CarPlay Adapter,No Delay and Stable Control Mini Size with Extension Cable USB-C&Type-C,Supports 1000+ Car's Model Use","2,497",4.5 out of 5 stars,471,
https://m.media-amazon.com/images/I/5176zQEBDxL._AC_UL320_.jpg,"Gaiatop Mini Portable Fan, Powerful Hand Fan Cute Design 3 Speed Personal Small Desk Fan With Base, Lightweight Rechargeable Usb Handheld Fan For Girl, Women, Men, Indoor, Outdoor, 15 Cm, Pink",598,4.2 out of 5 stars,"4,488",700+ bought in past month
https://m.media-amazon.com/images/I/5123iFq9hdL._AC_UL320_.jpg,"TP-Link Deco M4 Whole Home Mesh Wi-Fi System, Seamless Roaming and Speedy (AC1200), Work with Amazon Echo/Alexa, Router and Wi-Fi Booster, Parent Control Router, Pack of 2","4,299",4.3 out of 5 stars,"31,336",500+ bought in past month
https://m.media-amazon.com/images/I/61zcD6CSi2L._AC_UL320_.jpg,"Florican Portable Invisible Laptop Riser Stand | Mini Aluminum Cooling Pad, Lightweight Laptop Desk Stand for MacBook, Lenovo, Dell, HP & Other Laptops (Cool Silver)",206,4.3 out of 5 stars,"2,146",500+ bought in past month
https://m.media-amazon.com/images/I/61GM6pei8pL._AC_UL320_.jpg,Portronics Konnect B Micro USB Cables For Fast Charging & Data Sync 3.0 Amp with PVC Heads I Nylon Braided I 1 mtr(Black),228,4.0 out of 5 stars,"2,579",1K+ bought in past month
https://m.media-amazon.com/images/I/519XlUjsoTL._AC_UL320_.jpg,"Portronics Power Plate 14 Extension Board with 10 Universal Sockets, 25W Type-C PD, 3 USB Charging Ports, 3 Meter Long Cord, 2500 Watts, 2.1 Amp USB Output, Multi Plug for Home Appliances (White)","1,099",4.3 out of 5 stars,621,500+ bought in past month
https://m.media-amazon.com/images/I/81w+2nXMrpL._AC_UL320_.jpg,"Sounce Travel Watch Hard Storage Box Case for Apple iWatch, Boat, Fire Boltt, Noise, Dizo, Beatxp, Fast-Track, Ptron, Amazfit and Other Watches, Portable Carrying Hard Protective Cover, Nylon - Black",189,4.4 out of 5 stars,288,500+ bought in past month
https://m.media-amazon.com/images/I/413XBVOQxzL._AC_UL320_.jpg,"EMBOX Cube Extension Board with USB Port Universal Sockets and USB (2.4 A) (QC 3.0) Extension Board with Switches Overload Protector, Indicator, 2 Meter Extension Cord",899,4.5 out of 5 stars,"3,544",500+ bought in past month
https://m.media-amazon.com/images/I/71HdLDJEEUL._AC_UL320_.jpg,"JBL Go 4, Wireless Ultra Portable Bluetooth Speaker, Pro Sound, Vibrant Colors, Water & Dust Proof, Type C (Without Mic, Black)","3,549",4.5 out of 5 stars,"10,245",500+ bought in past month
https://m.media-amazon.com/images/I/71wgLKs5DlL._AC_UL320_.jpg,"Mivi Play Bluetooth Speakers Wireless with 12 Hours Playtime. Wireless Speaker Made in India with Exceptional Sound Quality, Portable and Built in Mic-Blue",785,4.1 out of 5 stars,"25,628",400+ bought in past month
https://m.media-amazon.com/images/I/71DgHf9TQlL._AC_UL320_.jpg,"Hammer Ultra Charge 10000mAh 22.5W Power Bank 20W PD Fast Charging, 3 Output, 2 Input Ports Type-C/PD, Micro USB and Multiple Layers of Protection (Green)",649,4.1 out of 5 stars,380,700+ bought in past month
