Image,Ratings,Price,Monthly Sales,Review,Title
https://m.media-amazon.com/images/I/81zZOwtLGqL._AC_UY218_.jpg,4.3 out of 5 stars,169,3K+ bought in past month,"2,304",Gala Steel Scrubber Combo Set (Pack of 6)
https://m.media-amazon.com/images/I/711G4ADiGoL._AC_UY218_.jpg,4.0 out of 5 stars,"2,889",3K+ bought in past month,"1,690","AGARO Royal Electric Spin Scrubber,Cleaning Brush Scrubber for Home, 300RPM/Mins-8 Replaceable Brush Heads-90Mins Work Time,3 Adjustable Size,2 Adjustable Speeds for Bathroom Shower Bathtub Car, White"
https://m.media-amazon.com/images/I/61ug++RKCjL._AC_UY218_.jpg,4.5 out of 5 stars,746,4K+ bought in past month,510,"Hallstatt Aluminium Pack of 2, Self Adhesive Bathroom Shelf for Wall Shelf Organizer Wall Mounted Bathroom Shelves Rack Holder Stand for Bathroom Accessories Organiser Without Drill (Pack of 2)"
https://m.media-amazon.com/images/I/61ADJiLzIOL._AC_UY218_.jpg,4.4 out of 5 stars,149,5K+ bought in past month,"31,861",ScotchBrite Kitchen Wiper
https://m.media-amazon.com/images/I/61RypVKnRrL._AC_UY218_.jpg,4.1 out of 5 stars,567,2K+ bought in past month,"4,579","ALTON SHR20910 ABS Health Faucet with SS-304 Grade 1.25 Meter Flexible Hose Pipe and Wall Hook, Chrome Finish (Jet Spray for Toilet)"
https://m.media-amazon.com/images/I/41q6c81bnhL._AC_UY218_.jpg,4.0 out of 5 stars,212,2K+ bought in past month,741,"Misamo Enterprise 50-Inch Rotating Floor Squeegee, Heavy Duty Bathroom Wiper with 180-Degree Swivel Head, Sage Green"
https://m.media-amazon.com/images/I/81sD5z+jcEL._AC_UY218_.jpg,4.6 out of 5 stars,299,2K+ bought in past month,82,"GERQSHO Microfiber Cleaning Cloth Roll 25x25CM – Reusable Tear-Away Towels Washable Super Absorbent Lint Free Cleaning Rags for Kitchen, Car, Garage and Home (Multicolor 1 Roll, 20 Pack)"
https://m.media-amazon.com/images/I/61TQIZKgEKL._AC_UY218_.jpg,4.5 out of 5 stars,799,2K+ bought in past month,503,"Ambrane Universal Travel Socket, International All in One Worldwide Travel Adapter Socket with 2500W High Power Output with 9 Hole Universal Socket, Compatible in 150+ Countries (ATA-03, Black)"
https://m.media-amazon.com/images/I/71X5FLYbQNL._AC_UY218_.jpg,4.3 out of 5 stars,379,2K+ bought in past month,"5,481","Herbal Strategi Just Mop Herbal Floor Cleaner Liquid, Natural Disinfectant & Insect Repellent, 2L"
https://m.media-amazon.com/images/I/91tyVf3xovL._AC_UY218_.jpg,4.1 out of 5 stars,299,3K+ bought in past month,784,"SOFTSPUN Microfiber Cleaning Cloths, 12pcs 30x30cms 220 GSM Multi-Colour! Highly Absorbent Lint and Streak Free Multi -Purpose Wash Cloth for Kitchen Window Stainless Steel Silverware."
https://m.media-amazon.com/images/I/71fulhRE-HL._AC_UY218_.jpg,4.0 out of 5 stars,169,3K+ bought in past month,"1,391","JIALTO 2 Pieces Stainless Steel Broom Holder with Hook - Wall-Mounted Adhesive Waterproof Rustproof Heavy Duty Broom and Mop Stick Holder for Home, Kitchen,"
https://m.media-amazon.com/images/I/61kqjJ9kCoL._AC_UY218_.jpg,4.3 out of 5 stars,163,2K+ bought in past month,"11,916",IMPOWER Self Defence Pepper Spray for Woman Safety - 55 ML (Pack of 1) | Long Range 12 ft Self Defense Pepper Spray for Women & Men
https://m.media-amazon.com/images/I/71Q0TSngacL._AC_UY218_.jpg,4.4 out of 5 stars,184,2K+ bought in past month,"4,367","ZEISS Lens Cleaning Solution Kit 30ml with Microfiber Cloth- Pack of 1 | Perfect Lens Cleaner for Spectacles, Eyeglasses, Sunglasses, Camera Lenses and Binoculars"
https://m.media-amazon.com/images/I/61VxgYs6feL._AC_UY218_.jpg,4.2 out of 5 stars,998,3K+ bought in past month,"8,690","Happer Plastic Premium Multipurpose Wall Mounted Storage Cabinet with Mirror, Prime Look (White)"
https://m.media-amazon.com/images/I/519t2IotWBL._AC_UY218_.jpg,4.3 out of 5 stars,298,3K+ bought in past month,"17,021","GM 3041 Trio 2-Pin Flex Box with 5M Copper Cord | Universal 3-Pin & 2-Pin Sockets | Master Switch, LED Indicator | Safety Sleeve, Cable Guard, Polycarbonate Body | Home & Office Use"
https://m.media-amazon.com/images/I/4137v23oRxL._AC_UY218_.jpg,4.6 out of 5 stars,299,3K+ bought in past month,413,"2-in-1 Bathroom Cleaning Brush with Wiper - Long Handle 180° Rotate Toilet Brush, Tiles Cleaning, Floor Scrub for Kitchen and Bathroom Accessories (2 in 1 Tiles Brush)"
https://m.media-amazon.com/images/I/61GRHX4pTaL._AC_UY218_.jpg,4.2 out of 5 stars,869,1K+ bought in past month,"17,747","Wipro 16A Wi-Fi Smart Plug with Energy Monitoring- Suitable for Large Appliances like Geysers, Microwave Ovens, Air Conditioners (Works with Alexa and Google Assistant)- White"
https://m.media-amazon.com/images/I/81qFaDEh+VL._AC_UY218_.jpg,4.2 out of 5 stars,99,3K+ bought in past month,"11,466","Shalimar Reusable Hand Gloves (Pack Of 1/200 Pieces) For Gardening, Kitchen Cleaning And Dishwashing (Natural Colour) - Free Size"
https://m.media-amazon.com/images/I/61TaQNaGPoL._AC_UY218_.jpg,4.0 out of 5 stars,275,2K+ bought in past month,"4,779","Gala No Dust Broom 2 in 1 with Extendable Handle for Ceiling and Floor Cleaning, Long Handle Jhadu"
https://m.media-amazon.com/images/I/51Xz1lxxqzL._AC_UY218_.jpg,4.3 out of 5 stars,616,3K+ bought in past month,"21,178","Ceptics UK Adapter for Indian Pins, India to UAE, Hong Kong, Dubai, UK Adapter Plug - Type G Plug - Perfect for Laptop, Camera, Chargers - CE - RoHS - 3 Pack -White- Lifetime Limited Warranty"
https://m.media-amazon.com/images/I/61VoUTCr4iL._AC_UY218_.jpg,4.2 out of 5 stars,139,2K+ bought in past month,594,"Sturlite Konvert Multiplug| 6-16 Amp| 2-Pin & 3-Pin Socket| Universal AC Travel Adapter| ABS Strong Body Socket| Compact Converter Plug for Travel, Home & Office Use - Pack of 1"
https://m.media-amazon.com/images/I/51XGcwwG8qL._AC_UY218_.jpg,4.0 out of 5 stars,698,1K+ bought in past month,"4,920","Anchor by Panasonic Wireless Doorbell | 45 Melodies Calling Bell for Home, Office with 120 Meter Operating Range | Door Bell for home (22730)"
https://m.media-amazon.com/images/I/516kb-5UqGL._AC_UY218_.jpg,4.2 out of 5 stars,199,1K+ bought in past month,"4,488","Scotch-Brite Double Sided Durable Plastic Toilet Brush with Nylon Bristles (Green, Pack Of 1)"
https://m.media-amazon.com/images/I/51O5z8T-zzL._AC_UY218_.jpg,4.2 out of 5 stars,198,2K+ bought in past month,"10,267",GM 3050 16 Amp 3 Pin MultiPlug Adaptor
https://m.media-amazon.com/images/I/71mbxX558qL._AC_UY218_.jpg,4.1 out of 5 stars,"1,465",2K+ bought in past month,"2,850","IBELL Impact Drill ID13-75, 650W, Copper Armature, Chuck 13mm, 2800 RPM, 2 mode selector, Forward/Reverse with variable speed"
https://m.media-amazon.com/images/I/61D96zJj0UL._AC_UY218_.jpg,4.1 out of 5 stars,149,2K+ bought in past month,"12,120",Aptechdeals TDS Meter/Digital Tds Meter with Temperature And Water Quality Measurement For Ro Purifier (TDS)
https://m.media-amazon.com/images/I/81hyQcJjfXL._AC_UY218_.jpg,4.5 out of 5 stars,499,2K+ bought in past month,"3,049","Scotch-Brite ,Multi-purpose , Easy to use kitchen cleaning Sponge Wipe (10 -Pieces)"
https://m.media-amazon.com/images/I/61pbXFcygqL._AC_UY218_.jpg,4.1 out of 5 stars,254,2K+ bought in past month,"1,665","Gala Double Hockey Shape Toilet Cleaner Brush with Holder Stand, Toilet Cleaning Brush for Western and Indian Toilet, Bathroom Brush for Toilet Cleaning (Gray,Pack of 1)"
https://m.media-amazon.com/images/I/71kqxg5jYJL._AC_UY218_.jpg,4.3 out of 5 stars,289,3K+ bought in past month,"13,966","Cello Kleeno Angular Toilet Brush with Holder Pack of 1, Blue & White |Flexible Bristles & Rubberised Firm Grip Plastic Sturdy Handle |Toilet Cleaning Brush for Western & Indian Toilet Bathroom Brush"
https://m.media-amazon.com/images/I/710cf3xL7OL._AC_UY218_.jpg,4.5 out of 5 stars,179,2K+ bought in past month,"3,733","INOVERA 50 Piece Cable Organizer Hook & Loop Tape - Wire/Cord Holder Management Strap - Reusable Hook & Loop Ties for PC, TV, Desk, WFH Accessories - Black"
https://m.media-amazon.com/images/I/81Cj9MeM+oL._AC_UY218_.jpg,4.1 out of 5 stars,354,2K+ bought in past month,"6,686","Spotzero by Milton Replacement Mop Head (Refill), Pack of 3"
https://m.media-amazon.com/images/I/41-3U-Q4JiL._AC_UY218_.jpg,4.4 out of 5 stars,139,3K+ bought in past month,"15,615",Goldmedal Curve Plus 202042 Plastic Spice 3-Pin Universal Travel 1Adaptor (White) Set Of 1
https://m.media-amazon.com/images/I/61W3pjD0P3L._AC_UY218_.jpg,4.1 out of 5 stars,575,1K+ bought in past month,252,"Maxoshine Fan Cleaner Brush with Long Rod Flexible Fan Cleaning Mop Microfiber Dust Cleaner Foldable Duster for Home Cleaning Microfiber Duster for Cleaning of Home, Kitchen, Car, Ceiling (Grey)"
